poore_product,co2e_per_100g,land_use_m2_per_100g,water_use_l_per_100g
Wheat & Rye (Bread),0.158,0.385,64.75
Maize (Meal),0.168,0.294,21.57
Barley (Beer),0.118,0.111,1.71
Oatmeal,0.247,0.76,48.24
Rice,0.381,0.28,224.84
Potatoes,0.045,0.088,5.91
Cassava,0.13,0.181,0.0
Cane Sugar,0.316,0.204,62.01
Beet Sugar,0.18,0.183,21.77
Other Pulses,0.179,1.557,43.57
Peas,0.097,0.746,39.66
Nuts,0.037,1.296,413.38
Groundnuts,0.318,0.911,185.23
Soymilk,0.097,0.066,2.78
Tofu,0.314,0.352,14.86
Soybean Oil,0.615,1.052,41.46
Palm Oil,0.716,0.242,0.64
Sunflower Oil,0.359,1.766,100.79
Rapeseed Oil,0.376,1.063,23.77
Olive Oil,0.525,2.631,214.18
Tomatoes,0.201,0.08,36.98
Onions & Leeks,0.05,0.039,1.43
Root Vegetables,0.043,0.033,2.84
Brassicas,0.051,0.055,11.94
Other Vegetables,0.053,0.038,10.25
Citrus Fruit,0.037,0.086,8.27
Bananas,0.086,0.193,11.45
Apples,0.042,0.063,18.01
Berries & Grapes,0.152,0.241,41.96
Wine,0.176,0.178,7.89
Other Fruit,0.106,0.089,15.35
Coffee,2.765,2.162,2.59
Dark Chocolate,4.628,6.896,54.06
Bovine Meat (beef herd),8.519,32.621,145.12
Bovine Meat (dairy herd),2.879,4.324,271.43
Lamb & Mutton,3.271,36.981,180.28
Pig Meat,1.154,1.736,179.58
Poultry Meat,0.982,1.222,66.0
Milk,0.284,0.895,62.82
Cheese,2.144,8.779,560.52
Eggs,0.46,0.627,57.77
Fish (farmed),1.251,0.841,369.13
Crustaceans (farmed),2.399,0.297,351.54
